team,head_coach,oc,dc,playcaller
ARI,Mike LaFleur,Nathaniel Hackett,Nick Rallis,Mike LaFleur
ATL,Kevin Stefanski,Tommy Rees,Jeff Ulbrich,Tommy Rees
BAL,Jesse Minter,Declan Doyle,Anthony Weaver,Declan Doyle
BUF,Joe Brady,Pete Carmichael Jr.,Jim Leonhard,Joe Brady
CAR,Dave Canales,Brad Idzik,Ejiro Evero,Brad Idzik
CHI,Ben Johnson,Press Taylor,Dennis Allen,Ben Johnson
CIN,Zac Taylor,Dan Pitcher,Al Golden,Zac Taylor
CLE,Todd Monken,Travis Switzer,Mike Rutenberg,Todd Monken
DAL,Brian Schottenheimer,Klayton Adams,Christian Parker,Brian Schottenheimer
DEN,Sean Payton,Davis Webb,Vance Joseph,Davis Webb
DET,Dan Campbell,Drew Petzing,Kelvin Sheppard,Drew Petzing
GB,Matt LaFleur,Adam Stenavich,Jonathan Gannon,Matt LaFleur
HOU,DeMeco Ryans,Nick Caley,Matt Burke,Nick Caley
IND,Shane Steichen,Jim Bob Cooter,Lou Anarumo,Shane Steichen
JAX,Liam Coen,Grant Udinski,Anthony Campanile,Liam Coen
KC,Andy Reid,Eric Bieniemy,Steve Spagnuolo,Andy Reid
LV,Klint Kubiak,Andrew Janocko,Rob Leonard,Klint Kubiak
LAC,Jim Harbaugh,Mike McDaniel,Chris O'Leary,Mike McDaniel
LA,Sean McVay,Nathan Scheelhaase,Chris Shula,Sean McVay
MIA,Jeff Hafley,Bobby Slowik,Sean Duggan,Bobby Slowik
MIN,Kevin O'Connell,Wes Phillips,Brian Flores,Kevin O'Connell
NE,Mike Vrabel,Josh McDaniels,Zak Kuhr,Josh McDaniels
NO,Kellen Moore,Doug Nussmeier,Brandon Staley,Kellen Moore
NYG,John Harbaugh,Matt Nagy,Dennard Wilson,Matt Nagy
NYJ,Aaron Glenn,Frank Reich,Brian Duker,Frank Reich
PHI,Nick Sirianni,Sean Mannion,Vic Fangio,Sean Mannion
PIT,Mike McCarthy,Brian Angelichio,Patrick Graham,Mike McCarthy
SF,Kyle Shanahan,Klay Kubiak,Raheem Morris,Kyle Shanahan
SEA,Mike Macdonald,Brian Fleury,Aden Durde,Brian Fleury
TB,Todd Bowles,Zac Robinson,Todd Bowles,Zac Robinson
TEN,Robert Saleh,Brian Daboll,Gus Bradley,Brian Daboll
WAS,Dan Quinn,David Blough,Daronte Jones,David Blough
